(' hours on the phone yesterday really still doesn t pick up status on us air flight ', 'negative'),
(' i ve been in line for over half hour trying to see a representativenow i might even miss the next flight toounacceptable ', 'negative'),
(' does a great job of answering public messages direct private messagesnot so much ', 'negative'),
(' anyone awake paying for wifi on iphone when need to be using it on laptop logout option for wifi in flight time is wasting ', 'negative'),
(' has it been hrs yet ', 'negative'),
(' or did you mean ', 'negative'),
(' i see you tweeting as little as min ago are you just ignoring my cs request #cantlogoutofunitedwifi', 'negative'),
(' tried that alreadytried forgetting the wifi network connection still forces log in with incorrect email other suggestions ', 'negative'),
(' y not you re the reason we re in houston and not nyc tonight it took the plane an hour to take off no explanations or sorry ', 'negative'),
(' bos sf was in between waivers business cancelled flighted due to weather before after no flexibility compassion in extreme circumstances = ', 'negative'),
(' too long for characters', 'negative'),
(' needs to pay for my car i could have been on my flight if help desks did not say it already left shame ', 'negative'),
(' the wifi in the ewr lounge reminds me of the old days of dial up', 'negative'),
(' and @airsouthwest had a flight from chicago to buffalo about an hour before our flightdo they not care about safety ', 'negative'),
(' can you ', 'negative'),
(' question was given food vouchers but can t use on plane how come', 'negative'),
(' problem is on laptop not phone', 'negative'),
(' have better customer service at john wayne airport ', 'negative'),
(' could have voided the ticket since it washrs since flight booking problems are you going to waive the fees still can t get through ', 'negative'),
(' how does that help me with my customers that i couldn t meet with and subsequently lost ', 'negative'),
(' i m not as sure as you are', 'negative'),
(' as it always is helps to communicate to customers ', 'negative'),
(' thats because you didnt read my entire tweet wife s pm flight is now delayed to thats hour flight delays in weeks', 'negative'),
(' k use to be special people in group one why not board global andk together', 'negative'),
(' rude grouchy agent at dulles check in just got my hour trip off to a lousy start he needs a nap or something ', 'negative'),
(' we like hearing from you so why haven t you replied to my tweet and or email yet', 'negative'),
(' so does that mean your other flights going into buffalo from other locationsyou don t care about their safety ', 'negative'),
(' been trying to speak to agent for hrs about my cancelled flightled flight but reps always busy how do i get ahold of you ', 'negative'),
(' flight cancelled flightedtime can t reach agent to reschedule can you call me ', 'negative'),
(' unfortunatelythat doesn t help just an automated computer ', 'negative'),
(' my two coats were in that bag so i have been in france with no coatwalking around with a t shirt and one clean pair ', 'negative'),
(' is the phone line open on hold for over hours now your check in agents cannot help at the airport itself please help ', 'negative'),
(' yes there is when you keep getting the same robotic answer ', 'negative'),
(' please explain why i need to pay bag fees twiceequally because a delayed flight resulted in bags being rechecked overnight ', 'negative'),
(' i tried already and i am on the waiting list for a call back # hourwaitsucks', 'negative'),
(' that s what i have been told but refund doesn t really makeup for the inconvenience caused and the missed meeting does it ', 'negative'),
(' the most stressful morning and still had to pay to check a bag lax is a madhouse with a lot of angry customers yikes', 'negative'),
(' ive filled out the form twice no email i have a lost item code can you verify it was received ', 'negative'),
(' i ll be calling soon but going tomorrow like it shows on the app is not a good option', 'negative'),
(' bad customer service to nyc a few weeks ago thinking of moving on', 'negative'),
(' why do i have to request refund why charge twice in first place ', 'negative'),
(' where we trick you into making us look popular on twitter by being the worst airline ', 'negative'),
(' @danahajekunited s ceo has decided to outsource and or push out more and more of their skilled and loyal employees lack of staff', 'negative'),
(' i meanyour employees were really nice as i literally sobbed ', 'negative'),
(' @danahajekshe means to say there has been so many complaints today this weekthis month that she can t respond b c she s alone ', 'negative'),
(' i was flying home for a am event tomorrow you pushed back my flight now i have a ticket that won t get me home in time ', 'negative'),
(' i know i can see that too but now estimated time of dep is am i don t understand why there wasn t a better estimate hrs ago', 'negative'),
(' i need to talk with an actual person about missing luggage please advise on how to make that happen ', 'negative'),
(' you need to change the way customer service is handled i have been waiting for a supervisor to contact me for dayswhat gives ', 'negative'),
(' you delayed our departure by hrs to wait for passengers from another flight that was late flight unacceptable ', 'negative'),
(' the flt to ord is correct per my it is the flight from ord to cvg i was charged for incorrectly', 'negative'),
(' i m not booked on a return flight ', 'negative'),
(' hands down the worst airline to travel with really really fucking bad ', 'negative'),
(' i didand as i thoughtnothing happened ', 'negative'),
(' the premier desk was able to rebook me with our friends at only problem is now i have to pay for a checked bag', 'negative'),
(' as of nowwill do my best to never fly wever again y all have made this a day to remember ', 'negative'),
(' watched the entire #uncvsduke game on the tarmac before cancelled flighting my flight because crew timed outright before myhr flight ', 'negative'),
(' i need you to get my cousin to pdxshe s on days of travel now and we ve had to hire other sitters til she arrivesthx for that ', 'negative'),
(' on a flight to new york love the quality planes on united #wtf #crappy ', 'negative'),
(' please improve business extra flight reservation process can t book online what century are we in min on hold', 'negative'),
(' nowe are boardingbut why can t your agentson the phonetaking care ofk travellerslink reservations ', 'negative'),
(' booked a flight yesterdayappeared in my accountconfirm email but since a few hours all disappeared and err no segment in this ', 'negative'),
(' thanks mr i got rebooked already but i lost my first class seat such is life ', 'negative'),
(' what sense is it to charge for a bag service when the service isn t great losing luggage and now missing items this is bs', 'negative'),
(' priority baggage evidently means it comes out last', 'negative'),
(' getting us to where we need to be this is not acceptable not to mentioncancelled flighting meetings interviews for my client ', 'negative'),
(' hi i am still waiting for the refund this is ridiculous or u approve my tickets or u give me a refund please advise wht is going on', 'negative'),
(' between your airline and i ve now spent three extra days traveling domestic and spent hundreds of dollars ', 'negative'),
(' spends minutes beating up a lady about her bag fees random stranger comes up and pays the fee #randomactsofcorporategreed', 'negative'),
(' ua hr mechanical delay all i get is voucher will tweet when i book next trip not on ua ', 'negative'),
(' you should really have that addressed somewhere on the websitefind that completely irritatingam unable to take my flight now ', 'negative'),
(' is it customary to upgrade a flight attendant in uniform vs passengers one is inb on flt now to iah', 'negative'),
(' the flight turned around for mechanical reasons on never to fly united again as they don t check their planes properly ', 'negative'),
(' no u guys suck i ll never fly with u again and ur supervisors suck too ', 'negative'),
(' has the worst flights and customer servicethis is the second time i ve been cancelled flighted gotta pay for hotel and find rides now ', 'negative'),
(' flight from dc to lanot to mention fix the circuit breaker in our bathrooms because this plane is as old as me ', 'negative'),
(' what an incredibly arrogant thing to say while i sit here at o hare waiting for your incompetent airlines to refuel on a ', 'negative'),
(' i will never be flying with ever again for checked bags all under lbs #angrycustomer suck', 'negative'),
(' please consider letting flyers with no overhead bin items board deplane first after first class make sense ', 'negative'),
(' @cnnbrk she tried they are not doing anything said they would talk to stewardess about serving drunks drinks how does that help', 'negative'),
(' sure you ve been saying that for as long as i ve been tweeting about your obsolete fleet promises are free ', 'negative'),
(' fyi the site app still shows plenty of the unavailable flights i had errors with almost hrs after sellout flying ', 'negative'),
(' i am calling to check on a future flight and your first agent hung up and now you sent me to the pet travel line this is hell ', 'negative'),
(' that time when i spent a night trying to sleep in a toddler bed at the airport ramada without my luggage you kidnapped #furious', 'negative'),
(' vacation days relevantritz in pr for the night losing a day to idiots and sleeping at the newark ramada', 'negative'),
(' reflight booking problems would not have made me reach on time for my meeting also didn t wanna take a chancebooked myself on @etihad instead ', 'negative'),
(' phone calls hrs of being sent backforth between two lines in the terminal and it s the skycap that finds a solution ', 'negative'),
(' flight from chicago to houston over hours and no pretzels or peanuts seriously about passed out ', 'negative'),
(' hs students from ithaca ny stuck in miami flts xld u won t rebook to get kids home use carrier alliance #rulesshouldbend', 'negative'),
(' yes there were plenty of seats available so why did vicky thomas refuse to give one to a million mile flyer ', 'negative'),
(' need to chat with an actual human asap ', 'negative'),
(' pt and the aa reservations phone number has been less than helpfultelling me to change things online when i can t ', 'negative'),
(' flight delayed minutes in ord because plane didnt have all the food that should be fixed in the future its a dumb delay ', 'negative'),
(' i guess that s not the busiest routeso based on traffic fuel costsregional jet is the decisionbut still not great travelers ', 'negative'),
(' funnyboth my flights yesterday were delayed because of mechanical issues rotten luck to get planes in a row with issues ', 'negative'),
(' yes but not with much help from you guys', 'negative'),
(' are there any travel advisories for torontoon today i can t access anything regarding international travel on your website ', 'negative'),
(' i understand that but hours late flightri still haven t heard a word how can you plan your week with no zero information ', 'negative'),
(' messaged you as requestedand called your baggage team again it s still in newark please help or let me know next steps ', 'negative'),
(' whom can i call to discuss as i was told that united has no phone contact with passengers this is absurd ', 'negative'),
(' can i get a refund i would like to book on a better airline ', 'negative'),
(' that would have been nice earlier today too late flight now i hope ', 'negative'),
(' waiting mins and counting to get through to global services something going on ', 'negative'),
(' no still trying to get home ', 'negative'),
(' also your at gate monitor showed empty seats', 'negative'),
(' your customer service is lacking and you owe me acamera i also appreciate not being interrupted every time i speak thanks', 'negative'),
(' that is not what your reservations desk just told me they said there were plenty of seats', 'negative'),
(' i must stop my relationship with you you ve become greedy and heartless and our long term relationship is over', 'negative'),
(' they inquire and then do nothing about it pretend theyre interested responded to yourand no response back ', 'negative'),
(' airlines delayed our flight on the way to chicago and leaving chicago next timeit is ', 'negative'),
(' my reservation is on holdnot me wish i was on hold but that s not possible with the phone issues at #americanair ', 'negative'),
(' very exasperating i m having a difficult time with flight booking problems as the error message says you re undergoing maintenance reallynow ', 'negative'),
(' the app doesn t allow canadian address i used the mobile canadian site and it will not let you select a passenger ', 'negative'),
(' you are having phone issues please fix it ', 'negative'),
(' flight delayed times today due to flight officer from pit to ord hour delay to date #bademployeeproblem ', 'negative'),
(' i got an email saying changes to my mileageplus account are confirmed but i didn t make any changes help ', 'negative'),
(' brothers baggage was lost on route to panamerican cross country cup championship in columbia his race is sunday please help ', 'negative'),
(' i tried to check inbut they redirect me to call in to which i also can t get into contact with ', 'negative'),
(' that doesnt make any sense ive beenk for over yearsand youre making it harder to keep me loyal ', 'negative'),
(' i certainly hope my lapbi on th has a new plane the seats on feb th flight in reverse god awful', 'negative'),
(' thanks for the response tough night for all involved our flight got cancelled flightled as we started taxiing down the runway ', 'negative'),
(' after having to now tag my own bags at the airport i was hoping they would actually arrive with me here s hoping they arrive', 'negative'),
(' is terriblemy flights cancelled flighted and i ve been on hold for the past hours never again ', 'negative'),
(' what response is our flight out of montrose cancelled flightled or not ', 'negative'),
(' can you help from there ua can t take off without missing galley cart that no one can find pax all seated for last hour ', 'negative'),
(' i had planned to book additional flights tonight but afterhrs working on one trip i m worn out #enoughisenough', 'negative'),
(' so much for being here to help very disappointed in your customer service ', 'negative'),
(' i sent you awith my file reference number i just want to know if someone has located my bag even if it s not here yet ', 'negative'),
(' speaking languages paid off as the us line left me over min in holdwithout an answerthe latinamerican solved in min', 'negative'),
(' thanks for therescheduling unfortunately your operations process at lax is chaosthe reps refused to print the ticket', 'negative'),
(' i just want to contact someone with a questionnot be put on hold for minutes in order to be hung up on or sent to the pet line', 'negative'),
(' your system is down and after being on hold for over minsmia tells me she is going to charge a flight booking problems fee customer service ', 'negative'),
(' so i was visiting sju and was returning to paris and they checked my bag at the gate in sjui arrived in paris and nothing ', 'negative'),
(' so publicly you asked for details on my flt sent you a like you askedand have yet days to hear from you', 'negative'),
(' shewon tbeatmyweddingthis is an irreplaceable milestone there s no reflight booking problems how can we be repaid for this ', 'negative'),
(' cancelled flighting my flight today because of weather in dallas without being charged ', 'negative'),
(' brothers luggage was lost on copa airlines flight he s competing sunday for the panamerican cross country cup please help', 'negative'),
(' my bag is still in miami and cannot be located how do you loose a bag like that with a tag and everything ', 'negative'),
(' over charged me one way for baggage find out others leaving pittsburgh with same equipment weren t charged just hung up on me ', 'negative'),
(' what a joke hang up on customers ', 'negative'),
(' disappointed in the service will be missing my connection after over an hour delaycramped seats at least their app is good', 'negative'),
(' on last flight of the day no less i am now driving hours to aspen thru a snowstorm thx to your teams lack of customer empathy', 'negative'),
(' no i was told i got put on another flight and that i would get an email still haven t gotten one yet ', 'negative'),
(' please try it yourself call and see what happens then you ll understand #allrepresentativesbusy #nooption', 'negative'),
(' really hoping to get some help here on myattempt to get a resolutionand lost count of transfers help please ', 'negative'),
(' upon entering plane to stewardesses can i have some water no we don t do that please take your seat ', 'negative'),
(' death of a dear friend has me heart broken but has me heated ', 'negative'),
(' most likely makes it sound like you have no ideawhich is not how i want my flights to be please use facts thanks ', 'negative'),
(' when will i hear guitar was damaged in december i use my guitar to earn a living get your act together ', 'negative'),
(' cancelled flighted my mileage plus award reservation g c same day have yet to see my miles back despite agent confirmation ', 'negative'),
(' or how about next time my bag is underweight you guys credit me or how about i take my business to an airline that cares ', 'negative'),
(' gate changes in minutes for flight to roanoke and flight to sous falls in o hare painful', 'negative'),
(' what happened this afternoon huge amt of incoming planes to sfo delayed over hours frustrating ', 'negative'),
(' my fingers are crossed that they are more capable of getting baggage from point a b than united airlines ', 'negative'),
(' i was on hold for over minutes and was talking to one of your employees i asked him for name or id # and he hung up in my face ', 'negative'),
(' i hope so but i ve received no help so far i ve been on hold for more than an hour can someone speak to me ', 'negative'),
(' this is nuts they said a flight was on the ground now it s still in albany and they won t have a plane someone is compensating me', 'negative'),
(' ouchdelays due to mechanical issues again qro will have to wait yall seem to be falling apart #alwaysdelayed', 'negative'),
(' your boarding process sucks you should learn from ', 'negative'),
(' flight was too heavy so had to fly back to palm springs after being in the air for mins ', 'negative'),
(' what is the problem with your flights to ny today', 'negative'),
(' wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space ', 'negative'),
(' tried other flight options as per weblinknon available for next daysfrustrating #notgoodenough', 'negative'),
(' doumentedlink howevernow that it has been over four months with no responsewhat do you suggest or shall i not expect one ', 'negative'),
(' what y all have zero concept of customer service oh and now my connection is delayed too ', 'negative'),
(' another day outbound inbound and now waiting at ewr for a gate to be ready how is it not ready ', 'negative'),
(' not about being on my way or impatience on my part it s about you being untruthful and not having proper systems in place', 'negative'),
(' it wasn t fulli had plenty of time to go to the gate and checkplus with my status i should have gotten on ', 'negative'),
(' i d rather have the truth about my flight than be forced to sit here all day trying to get home to this', 'negative'),
(' i was just called abt my flight cancelled flightlationa flight that was cancelled flightled at a sunday two a calls are not okay ', 'negative'),
(' service staff to is less than friendly ', 'negative'),
(' supervisor m robinson just served a lot of attitudecancelled flighted my flight out of spitethen put me back on on #crazybitch ', 'negative'),
(' hrs late flightr and you still can t figure it out random text updates ', 'negative'),
(' at gate c your gate agents are turning paying customers away in favor of non revs', 'negative'),
(' would be hard to be worse than last time but i m sure you ll give it a shot', 'negative'),
(' are you telling me that you are now cancelled flighting my flight ', 'negative'),
(' the one at am my app still shows it as on time ', 'negative'),
(' i miss the continental days ', 'negative'),
(' stop picking on us ', 'negative'),
(' your survey is too long i fly a lot of segments and i ll fill it out after every tripbut not if it takes more than a minute ', 'negative'),
(' first you lost all my bagsnow you cancelled flight my flight home min wait to talk to somebody#notgoodenough ', 'negative'),
(' @andyellwood @delk lol i was sure i d wake up to more of a response than this half thought auto tweet hope you made it out ', 'negative'),
(' booked flight in sept to get best price for april to usachecked now and they are cheaperwhat a con unhappy customer #ripoff ', 'negative'),
(' worst airline ever staff is nastywifi down bags are delayed due to weather and now the belt is broken selling ual stock in am ', 'negative'),
(' too big to properly manage flight times there is such a thing as being on time or at least prepared with a gate when we land ', 'negative'),
(' thanks for nothing next time i ll bring a whole extra suitcase for my extra pound that makes senseright ', 'negative'),
(' then why did your staff refuse to let me on the earlier flight citing my having checked a bag ', 'negative'),
(' can you you think about hiring some baggage attendants at ewr been waiting for bags for hr united = overchargedunderserved', 'negative'),
(' they sent her a letter and said they would talk to the stewardess about serving drunks drinks how does that help', 'negative'),
(' an update on flight would be great ', 'negative'),
(' you asked me tothen ignore them please assist in changing to another flight today feb fra to mco avoiding iad ', 'negative'),
(' be worse oh you can t delayed with no reason on the way to lonflight cancelled flighted with no reason less than days before returning ', 'negative'),
(' i am now following you and see that i am not the only one experiencing and noticing a substantial downgrade in service post merger', 'negative'),
(' flight gate changes on top of this really hoping you can compensate with some points mileage to my account ', 'negative'),
(' one hour after departure time and still no update ', 'negative'),
(' lost my wallet on flight yesterday from houston to bogota filled out your online form no response yet ', 'negative'),
(' should contact me and the others on my flight who can t get their website to work none of our info is valid', 'negative'),
(' over an hour stuck and still not off the plane total failure by you and your partners in ensuring the best customer experience ', 'negative'),
(' bring my fiancé @meerikangas back to me ', 'negative'),
(' @robcnyc see information on our boarding process i get group just no reason on', 'negative'),
(' work would be much better with my lesson plans and music for my classes today ', 'negative'),
(' minute wait still at the gate with a broken jetway might miss connection', 'negative'),
(' hahahaha this is crazy well here s to another night at the airport ', 'negative'),
(' silence is very telling', 'negative'),
(' thanks for thehr delay and then no ground crew when we landed at least you didn t break my', 'negative'),
(' @hoagy how about you stop cutting and pasting apologies and get some additional phone reps to do their jobs', 'negative'),
(' i m confused after your @dulles_airport agents directed us to go to your website after delays nothing works', 'negative'),
(' am i illiterate or is there a magic code to make your customer service site work', 'negative'),
(' blamed weather lol no wind and not a cloud in the sky delayed both waysx ru kidding me to charge me for lb w delays ', 'negative'),
(' minutes waiting at the gate for the broken jetway different gate maybe ', 'negative'),
(' how can you never got a flight from austin to houston in time for a connection ever ever ', 'negative'),
(' b c of your delay now you are oversold by passengers this is a mess what are you going to do to compensate ', 'negative'),
(' aa second week in a row delayeddue to mechanical issues all the sleet outside and yet we re stuck changing a tire ', 'negative'),
(' thank you for the worst experience ever on an airlinefrom me to youi hope your embarrassed as an airline pathetic ', 'negative'),
(' i sent are an existing reservation but no one has responded', 'negative'),
(' still sitting here waiting for a plane hours wasted', 'negative'),
(' yet again you disappoint sitting at iad for ua for hrs and you can t seem to know why the plane hasn t left albany ', 'negative'),
(' and there is no direct phone number for status match desk i really regret flight booking problems with now ', 'negative'),
(' thanks for trying to take my money without notice in any other industryyou cancelled flight a servicea refund is issued cont ', 'negative'),
(' just curious why you d board a flight without a pilot seems crucial to the flight processno ', 'negative'),
(' line is just getting longer and moving slower lady working the counter is doing greatshe just needs help #customerservicefail ', 'negative'),
(' how is this considered on time if it s arriving at destination half hour late flightr than scheduled', 'negative'),
(' make sure you make cancelled flighted flight baggage and upgrade fees seem like a labyrinth so that you might be able to swindle a few more', 'negative'),
(' how do you stay in business with such poor service#notgoodenough', 'negative'),
(' keep trying to call to change reservation and you keep hanging up on me', 'negative'),
(' look at the twitter history as usual service non existent', 'negative'),
(' @british_airways weeks ago today i arrived in miami and i still don t have my bagabsolute disgrace ', 'negative'),
(' just changed again this is crazy #youragentshavenoclue', 'negative'),
(' now sitting on the tarmac for a half hour after landing because your jetway is broken # daysofunitedfailures #ingafteranother', 'negative'),
(' never can get a flight out on time hour delay earlier another hour delay on my connecting flight makes straight delays', 'negative'),
(' your call system is a fucking joke', 'negative'),
(' so am i going to be homeless or do i have a place to stay tonight can you respond to me here so i can go back to sleep ', 'negative'),
(' can you maybe have more than person working customer service desk in houston airport line rows deep person working', 'negative'),
(' but you re not sorry enough to compensate for either the extended time or cost difference to an alternate direct flightright ', 'negative'),
(' i m try to upgrade my seats to first class but the wait time on the phone is minutes can you help ', 'negative'),
(' broke my suitcaserefuses to give me a repair estimate', 'negative'),
(' you knew this flight was delayed mht to alb to ewr to get crew your arrival is late flightr than the departure update your site ', 'negative'),
(' how do you have a scheduled flight with no crew is there a competent person working at this airline ', 'negative'),
(' my flight landed minbut we are being told to stay on the planehaven t pulled up to the gatehave little to no information ', 'negative'),
(' when a hour flight turns into a ordeal sigh', 'negative'),
(' it s more than technical problemsres on hold and can t get thru to use a credit to pay for it', 'negative'),
(' worst service ever denied access to our flight and then moved flight times how hard is it to schedule a gatenext time ', 'negative'),
(' can you help in chicago get to a gate freezing on a runway seems like a crappy thing to do atpm', 'negative'),
(' how is it that my flight # can arrive early and be delayed due to no gate being available we are now min late flight on tarmac', 'negative'),
(' @rldelahunty record l got email we couldn t get rescheduled on another flight but don t know if flight is cancelled flightled', 'negative'),
(' it has been almost hours and i have heard nothing yet from your reservations team what am i supposed to do ', 'negative'),
(' @bwood we d prefer everyone hear our complaints amount your airline', 'negative'),
(' just delayed my flight to slc by hours what gives #snowforce', 'negative'),
(' record locator oaaret got email we couldn t be rebooked but got no notification flight was cancelled flightled', 'negative'),
(' ord gate c and flt remember when customers were valuable is it so hard to be nice to someone lugging a guitarcarryons ', 'negative'),
(' it s not a friend it s a legally required chaperone on a school trip ', 'negative'),
(' care less about the person although he walked away while i was complaining a man at p at lax club more ', 'negative'),
(' deplaned for therd fucking time fuck you aa ', 'negative'),
(' how do i redeem a travel voucher for a flight if i can t reach a travel agent by phone my hold expires in hours', 'negative'),
(' smiling not ', 'negative'),
(' wtf why can t you update your times in a timely manner you ve known the fight was more delayed ur service is awful ', 'negative'),
(' worst airline in the world delaysgate agent loses her mind over lbs and charges me on top of the i already paid ', 'negative'),
(' cancelled flighted flightsnow i m rerouted and have over hrs of travel but you will bump paying customers for non revs', 'negative'),
(' thanksbut that results in missing the conference i m attending are there options to book earlier or if not receive a refund ', 'negative'),
(' your airline is a joke person working special services at ewr line is ppl deep grow up ', 'negative'),
(' ua is a coshared flight wana unable to check in hrs prior ', 'negative'),
(' thanks kp what s going on w tonight bad update online and phone can t u give customers good info not waste their time ', 'negative'),
(' it s our honeymoon i paid extra business i was sitting next to my brideyou bumped me because of status disgusted ', 'negative'),
(' never flying with you guys ever again the customer service is piss poor at best ', 'negative'),
(' waiting on plane so long missed my connecting flight it left early that s the last flight out tonight help', 'negative'),
(' more concerned that you close a club i paid alot for at last flight p the construction going on is very inconvenient ', 'negative'),
(' on flight to houston delayed duecto engine trouble willl you hold my connection to argentina at houston since i m late flight now ', 'negative'),
(' where are our luggages with a group and over luggages are lost', 'negative'),
(' assistance with whatthe attitude of your staff no matter which airport we are at ', 'negative'),
(' tried to and got through the whole characters and i was not even done ', 'negative'),
(' you moved us onto pm but there is availability on and no answer on your phone have young children help ', 'negative'),
(' tell me something i don t know not #keepingit #weaktea', 'negative'),
(' i m in denvermy bag is in san jose see something wrong here ', 'negative'),
(' but reallycan youme on here to verify if you ve booked a hotel for our extra night here kinda unsettling to get a call ', 'negative'),
(' so our flight into ord was delayed because of air force onebut the last flight to sbn is at mins from now we just landed ', 'negative'),
(' @leigh_emery we don t like to hear this is there anything we can help with thanks ey another empty offer for help ', 'negative'),
(' donna and juan still the best in the united club_ too bad ual does not get it', 'negative'),
(' playing hide and seek with the gate we can t find itit should only be a few more minutes ', 'negative'),
(' worst airline ever after legs of travel i am officially done on time is not in their vocab i m taking my premier status to a', 'negative'),
(' the website won t let me view my reservation due to changes made outside i m on hold now to get help ', 'negative'),
(' the wait time for a baggage question is minutes that s crazy is there a limit to the amount of bags i can bring internationally', 'negative'),
(' enough already with the poor serviceold planesridiculous routingk and time to find a new airline with status match ', 'negative'),
(' outbound flight hour delay b c air trafficgate changes dividend miles member gets no email or text updates', 'negative'),
(' you know it s bad when you re praying your connecting flight is delayed because of an hour delay on the first flight #justgetmehome', 'negative'),
(' i am a comedian and i promise i will make fun of you on stage tonight ', 'negative'),
(' can you transfer my bags too ', 'negative'),
(' you had us reboard without the captain so now we ll be sitting in here for another min', 'negative'),
(' on hold again estimated hr hold', 'negative'),
(' after waiting for over an hour we finally board the airplane only to find out we have to call maintenance and this plane is cold ', 'negative'),
(' at am and have no clue if we have a place to stay or not', 'negative'),
(' while in haiti id do food distribution for hundreds of hungry kids in nearby villages ', 'neutral'),
(' thanks i just sent a few dms ', 'neutral'),
(' aprilanything specific i should know for my first flight ', 'neutral'),
(' sent my suggestion and commentsthe link provided ', 'neutral'),
(' thank youalthough we re using our miles from our card and flight booking problems companion tickets which can only be booked over the phone ', 'neutral'),
(' when will you release november flights for flight booking problems ', 'neutral'),
(' is it possible to cancelled flight my reservation online ', 'neutral'),
(' okay our fleet s on fleek', 'neutral'),
(' if im unable to use my departing flight can i still use the returning flight ', 'neutral'),
(' how much is it to check golf clubs on a flight they might be oversized', 'neutral'),
(' our fleet s on fleek ayyy ', 'neutral'),
(' can i check bags through to my final destination even though i bought separate tickets from iad to phl and phl to israel ', 'neutral'),
(' hi on my dividend miles account i accidentally listed my newly married name as opposed to my legal name i am trying to book', 'neutral'),
(' to my legal last name so it s not technically a name changei just used the wrong name ', 'neutral'),
(' our fleet s on fleek lmfao ', 'neutral'),
(' do you know when the schedule for dec will be released ', 'neutral'),
(' what s the charge for oversize not overweight', 'neutral'),
(' they didnt just tweet this nah our fleet s on fleek ', 'neutral'),
(' i didn t make a reservation yet it s about changing name on my dividend miles account', 'neutral'),
(' so i can make a reservation', 'neutral'),
(' is there a phone number or email address to customer service ', 'neutral'),
(' i left my personal stuff on us from phl bos about an hour ago went baggagewas told plane left to call # ', 'neutral'),
(' ever consider coming to memphis need some trueblue service and fares badly ', 'neutral'),
(' y all got prices for the low ', 'neutral'),
(' thank you ', 'neutral'),
(' woof ', 'neutral'),
(' callswasted hrs on hold to change my coming divided awards weather relate flightd flight y all disconnected mex please help ', 'neutral'),
(' and now you can t even accommodate us by letting us fly in to another airport horrible service for your fault ', 'neutral'),
(' our fleet s on fleek is fleek dead yet now ', 'neutral'),
(' if i qualify for freechecked bagis that applied at checkin same for using companion tickets ', 'neutral'),
(' our fleet s on fleek no way', 'neutral'),
(' just looking to arrange for a nice flight from sea to la ish and comparing the cost to something more direct from yvr ', 'neutral'),
(' who s running your tweeter using the word fleek ', 'neutral'),
(' flight out of clt this morning it s snowing here should i head out to the airport ', 'neutral'),
(' our fleet s on fleek this happened', 'neutral'),
(' you know it ', 'neutral'),
(' but virgin has wifi ', 'neutral'),
(' flight cancelled flightled yesterday and now a delay today has robbed my daughter of days with her grandparents thanks', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' ddddnhlbruins repping the bruins in cleveland at rock n roll hofthe christmas story house #jetbluebruins', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' i ll take round trip tickets to the closest warmest place please degrees', 'neutral'),
(' captain takes as lot of muscles to frown but just a few to smile y all ready to go flyin i mean now i am ', 'neutral'),
(' our fleet s on fleeksee what ihop started ', 'neutral'),
(' our fleet s on fleek lmao you know a white person said this', 'neutral'),
(' is there a phone line to call into that isn t being affected by bad weather trying to book a vacationhere ', 'neutral'),
(' ️️️ our fleet s on fleek ', 'neutral'),
(' how do i add my tsa pre number to an existing reservation ', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' my card company and i explained the issue over the phone when i was in mexico i purchased a new ticket over the phone ', 'neutral'),
(' i m flying your airline just out of #lga 😷', 'neutral'),
(' i know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours ', 'neutral'),
(' our fleet s on fleek huh ', 'neutral'),
(' do you have any afternoon flights going from bqn to jfk i only seem to find early morning flights ', 'neutral'),
(' my credit card company accidentally marked my jet blue tickets as fraudthen corrected their mistake and reposted the money ', 'neutral'),
(' lmao y allour fleet s on fleek ', 'neutral'),
(' do you have direct flights to and from bos to st lucia or antigua ', 'neutral'),
(' any thoughts on waiver of change fees for travel out of boston this weekend ', 'neutral'),
(' @courteroy lolz on fleek ', 'neutral'),
(' can i please have someone call me ', 'neutral'),
(' ok great thanks i had a great flightfyi i m excited to fly again i just was frustrated i was not able to check in ', 'neutral'),
(' our fleet s on fleek smh', 'neutral'),
(' hawaii what deals u have for me', 'neutral'),
(' fortunately you have staff like lynn s and deedee who actually understand customer service and simply being nice ', 'neutral'),
(' is apossible if you aren t following me ', 'neutral'),
(' s new ceo seeks the right balance to please passengers and wall greenfield daily reporter', 'neutral'),
(' ceo weighs profitsflyers @chronicleherald registration ', 'neutral'),
(' thanks i only loose em at airportstime we found it i think ddddfitbit needs to make flexes that stay on when carrying bags ', 'neutral'),
(' s ceo battles to appease passengers and wall street waterbury republican american', 'neutral'),
(' airways corporation insider trading update rock hill daily', 'neutral'),
(' who do you think is gonna win mayweather or pacquiao ', 'neutral'),
(' really caring ', 'neutral'),
(' traveling wa rifle for a hunting tripcan a pistol be in the same large rifle case too wasn t clear in freq asked questions ', 'neutral'),
(' ceo weighs profitsflyers @chronicleherald registration ', 'neutral'),
(' i hear that the new thing in your planes are the fly fi how i can check if the flight that im going to take have it ', 'neutral'),
(' no come on ', 'neutral'),
(' ddddmarkie_post i d like to see markie too ', 'neutral'),
(' can t view seat selection change seat for flight tomorrow can you look into this ', 'neutral'),
