Classification, Text
negative, of course i need help i ve been dming you ladies and gents all day your only solution is hope for the best and lax 
neutral, confirmation number njv bp all i need is email confirmation of flight from nyc sfo feb
neutral, is changing its program winners and losers
positive, brandi zabsonre in denver deserves a raise for bringing delight into a terrible travel situation big ups 
neutral, thank you and next flight to durango then driving to farmington new mexico for work but hitting the slopes in durango 
negative, i was denied use of a rear facing car seat on ua an erj can you confirm the actual policy 
negative, you better hold my flight to tucson # just landed in houston after an hour delay for some minor computer problem 
neutral, thx stand by@rajuchinthala i know it s frustrating and i do appreciate your patience while we try to get you on your way
neutral, roundtrip tickets to nj are dramatically cheaper through virginpretty priceyunited can you match them 
negative, dropped off a luggage at iad over months ago for repair from damages haven t heard anything about it sincewhen do i get it back 
neutral, that s what i thought thanks for the clarification 
negative, feck guys stop cancelled flightling flights from ewr to ric the weather is fine i both locations 
neutral, ua has been rolling out improvements toowe think hoping they ll catch up soon meantimeana is our preference 
positive, @flyana_official pleasantly surprised to find ana has made major upgrades on their transpacific route in flightsplanes and service 
negative, step cancelled flight flight step don t notify customer step charge them for food while they try to survive their wait brilliant 
neutral, i need my confirmation number can you give it to me 
negative, besidesno small degree of self interest we take that route several times a yearwould hate to be in that situation 
negative, we rebooked but @casleah and i had to split up and take different flights because a pilot ran out of hours frustrating 
positive, no worries about the tweets we all should do what we can to make sure weas in your tag linefly the friendly skies 
positive, @jsumiyasu i am thankful to the united ground staff who put me in the last seat on the last flight out home late flight is still home 
positive, i appreciate the follow up 
negative, that s the gist of what the flight attendant told her 
negative, btw is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation 
negative, what took me aback was the response by the flight attendantwho put the responsibility squarely back on passenger s shoulders
negative, no but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business 
negative, sat at airport for hrs still sitting at gate sigh
neutral, actually we did not consider she might have made a mistake she did not complain beyond that she indicated it on her reservation 
negative, gold star for unitedchange my flightmiss all connectionsbut can t accommodate me until a much late flightr arrival time not happy 
negative, s first class #cockup
neutral, all day travel #swag #ijustwanttosleep
positive, thank you for the new club at o hare very comfortable you made the difficult weather days proficient and enjoyable 
neutral, filled in the form you sent the link to on and then either or 
negative, did not let me get on the iah hnl direct now weather delay for my sfo leg stop being reactive and be proactive 
negative, bad coffeebut the juice is ok #getphilz @ united terminal sfo airport
negative, why am i mot getting my refund 
negative, nothing apparently i ve flown wyou times in last weeks and of those experiences incl today were clusterfucks 
negative, didn t get her name she was not in our group she was sitting behind us think it was window seat # we only overheard 
negative, you know what the united club needs power moar power insufficient outlets for the #roadwarrior ord 
negative, thrilled to have my carry on checked against my will by two nasty gate agents only to see an entire empty bin when i boarded last 
negative, what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business #employeerelations
negative, ridiculous to fly outdated s anywhere much less btwn iah and sfo no power portsno wifino personal entertainment torture 
negative, last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew 
negative, broken entertainment system on my hour nyc flightterrible cabin crew service and online complaint form won t work #hopeless 
neutral, how much does it cost to check in an additional bag traveling from newark to glasgow thank you
negative, call my work and tell them it s your fault i m late flight
positive, new apple crâpeamazing live from ua really nice crew too #americanair has biscuitsua needs them
neutral, clicked on the link and got this #confused
negative, is officially the worstmost delayedand least helpful airline i have ever had the misfortune of flying on 
negative, i have items of sentimental value that i m heartbroken are missing
neutral, even though technically after i land i will be silver 
negative, still waiting for a reply
negative, please see a flight attendant for what why isn t there enough room for over head bags i carry on to save time 
negative, wanted to get my bag benefitbut instead get pricing on all three tickets when adding a cardmp visa is only option 
negative, i triedit would not go thru not sure why
negative, link to current status of flights airports fly bwi ewr mco this morning yet can t yet tell what any problems are except see snow 
negative, i like delays less than you because i m the one on the plane connect me with a voucher
negative, and don t hope for me having a nicer flight some other timetry to do things right you sold me those tickets with that connetion 
negative, the we got into the gate at iah on time and have given our seats and closed the flight if you know people is arrivinghave to wait 
negative, yes we waited in line for almost an hour to do so some passengers just left not wanting to wait pastam 
negative, still waiting just hit one hour 
negative, although i m not happy you cancelled flighted my flight home tomorrow phx to atl then dca i am happy on how easy it was to rebook
negative, hello been on hold for extremely long time have confirmation #can t get boarding pass have tried numerous times 
neutral, i m teaching new #travelers how to research#budget#save for a trip today
negative, very frustrated for the loooooong wait time to speak to a live person cannot get boarding pass for flight tomorrow 
negative, still no update text # still no response to email fr sr # feel like yr losing customer service care
negative, your agents were the ones who were rude and unhelpful and prompted my initial tweet this is so easy to fix 
negative, my wife had been in group a in prev flight but got bumped for some reason alone with two kids at least put her in group a
negative, my flight was delayed hrs i m months pregnantsupposed to be caring for my mom whose in surgery now very upset 
positive, thank you so much completely made things right 
positive, love them always get the best deals 
neutral, can you follow me so i can send you the info 
negative, been on hold min so far trying to book seat for my infant price increased in meantime what do i do 
neutral, once again on glassdoor s best places to work snagging # overall #notsurprising #luvthem
negative, poor performance all around paid for express checkin weeks ago and can t even leverage it #bullshit
positive, thx make it right help meagan fouty brancato fl# dfw gate preboard w kids bgroup a please please 
neutral, can you update me on the emergency landing in jacksonville right now #parentsonboard
neutral, i have been on hold for over minutes please help
neutral, can y all develop ding for a chrome firefox browser extension that would be swell
neutral, can take u to midway chicago marchaprilcan t make it then can get u to @fly ohare year round #flypbi
negative, logically you would think you check all that before you have people board i could ve drove home in the time i ve been waiting
positive, thanks southwest for saving our trip my sweetheart isn t going to miss seeing #altonbrownlive thanks to y all #sohappy
negative, can you have someone call me back i have been on hold two times today for over min and still haven t gotten through
neutral, did you know that suicide is the second leading cause of death among teens 
positive, never mindi moved my flight to tomorrow thanks for the help 
neutral, she needs a wheelchair at the gate for sure what options does she have 
positive, i managed to get sorted out over the phone good luck dealing with the snow in texas 
negative, has grounded flights b c of equipment problemsbeen rude to my wifetraveling alone w our young kids never again 
neutral, do you promise to not unfollow me 
neutral, just dmed you my confirmation number 
negative, oh look you just delayed our flight an additional half hour now arriving at officially five hours after planned 
positive, weather bc of system outage hopefully everything goes smoothly now thank you for follow up
negative, belt issues been a rough day for them worst part is traveling with month old and having to wait outside in degree
neutral, ohis it only in atlanta 
negative, they were moved to the pm flight # main concern now is luggage arriving with them they were told that sw was having
positive, i used to always fly southwest 
negative, got my bags hours late flightr and an offer of to go pick them up taxi costs one way spent for the inconvenience 
negative, thx but i ll be expecting a credit for this leg 
neutral, sureplease follow me so i can do so 
negative, appreciate y all getting the gate issue figured grr plenty open gatesyet we sit and wait on tarmac 
neutral, sent 
negative, minutes on hold waiting is ridiculous 
negative, have u seen any of the messages the past hour 
neutral, i m following now
positive, thank you for your awesome flights sweetheart got screwed on @flyfrontiermanaged to scramble and get a sw plane today 
positive, thanks so much 
positive, round trip tickets just arrived for our auction at the post masters invitational thanks southwest 
negative, went to purchase a flight that i began processing not even minutes earlier and the points had gone up any help 
negative, i m so upset that my luggage was damaged and the rude employee at the laguardia airport didn t help 
positive, tv stream means i get to spend my flight watching and women s world cup finals #throwback #bestflightever
neutral, what is the status of the bag check area at ffl 
positive, @heavenlychci d at least enjoy a free cocktail or two 
positive, i agree@ news one airline is the fly away favorite at dia # newsbusiness
negative, its flight # of that matters to you all hell next we all won t get our luggage properly transferred #facepalm #smh
negative, your phone service sucks
neutral, my flight at bwi is delayed and i will miss my flight in denveris there a way to find out if they will hold the plane 
positive, airport snow removal method # keep up the good work folksthis is where cessna s become s 
negative, are people in an exit row still supposed to give their verbal approvals i was never asked on the flight i m on 
negative, and now our arrival is delayed nearlyhours yeah an entire day in an airport is not my idea of a stress less vacation 
negative, oh and now your company has caused us to lose an entire day of our vacation in cancun de boarded waiting for another plane
negative, trying to change my reservationbeen on hold for minutesand can t do it online was directed to call help 
negative, my first call got dropped waited mins for the second but ran out of time will try again late flightr no way to do this online 
negative, yoi m trying to make a change to a reservation but whenever i select the flight it saysunable to price please help 
negative, great now we are all de boarding perfectly plane is shot fml plans are screwed thanks for nothing 
neutral, teyana taylor performing #medusafridays free till
negative, had to let us off the plane bc the toilets done even work there goes my family vacay to playa del carmenmexico #neveragain 
negative, thanks for the apology unfortunately i have had one too many bad experiences and will no longer be flying with southwest 
negative, i was told by customer service that only customer relations can extend the expiration date of my unused travel funds 
negative, @smiles over two hours now ugh we should all get vouchers this is inexcusable esp after a pre flight check that was ok 
neutral, i have a flight out of birmingham tomorrow night can i reschedule it for an earlier flight because of the expected snow 
neutral, you have to follow me back so that i can
negative, horrible experiencepassenger of size was in my seatoffered voucher for this by christine c
neutral, rd time flying southwest in two years have another trip back to mx on october 
negative, yesvery much so i was looking forward to using your airlines for future flights but never again 
negative, need to learn how to treat people with respect and just a little dignity 
negative, redeem points packages magically gone by time we finally got through @ felt like #baitandswitch 
neutral, done
negative, i think i get a faster response on twitter than i do when i call what s up with that 
neutral, any idea when the winter advisory will be posted for atl for tomorrow i d rather get to phl tonight 
negative, then had to watch the staff check off each passenger on the list twicebecause the first time they forgot look at ids brutal 
negative, was on flight from chi buf last nightalmost hour delay cuz someone got on the plane without a pass sounds safe
positive, thx for your quick response and action bf will make good use of the voucher #satisfied #happycustomer
negative, nothing you can do to help us restore some barely expired #rapidrewards points 
negative, rapid rewards program sold me short #lasttweetaboutthis but still
negative, freezing in the plane
negative, where your airline people screwed up our boarding passes on the way back from puerto vallarta this is horrible and we are
negative, from groupa to group c we have never got to sit next to each other on any south west flight not even on our honey moon
negative, flight to atlanta getting cancelled flightled and then had to re schedule on the phone for over hours with a rep this bumping us
negative, due to an apparent water issue that checked out fine during the checks my husband and i already had to deal with our first
negative, u have a lot of pissed off hungry tired people stuck at midway over hours after scheduled departure this is inexcusable
negative, do you know that your lost baggage portal doesn t work on mobile it s a 
negative, if you re going to charge for wifido us all a solid and make sure it doesn t take the length of the flight to open a page 
negative, your website has now reverted myflight to only a minute delay but it s changedso is that reliable information 
negative, swa helps the hotel industry i always book flights a day before i need to be somewhere as swa consistent cancelled flights delays 
negative, unfortunately once the call was answered service was horrid swa was the role model of finger pointingexcuses 
neutral, barzegar charges tourists euros a night for their stay in the tent village he runs 
neutral, can you please make sense of the companion promo how to we set it up 
neutral, unfortunately i don t even have that my phone died before o had a chance to grab it it was from oma to san from 
neutral, live in atlanta but cant enroll in your atlanta companion promotion error every time can you help also sent email thanks 
negative, frustrating indeed especially when no one knows what the issue is 
negative, on hold with customer service you may be quicker i rebooked trip for a lower fare where did the difference in go 
neutral, that was chantillyparisfrance 
negative, and thx for not responding
negative, i booked a flight on my phone and then never got a confirmation email how would i go about getting that 
negative, supposed to take off almost hours ago #vacationfail #frozenwater #gettingimpatient #theycouldatleastofferfreebooze
negative, how come i m not getting my points after i buy from the rapid reward shopping site 
neutral, hey i m flying from tampa to denver today and i want to know if there will be tv s in the seats like 
neutral, and carol thrower are passengers fort lauderdale airport 
negative, mins and no answer my wife and baby need to get on that flight she arrived hrs prior please help venetia crook
negative, my wife and month old might miss flight and next direct is pm mother in law been on hold with customer support for 
negative, flight fll to atl my wife traveling with infant line to check baggage people long due to your computer system crash
positive, thanks sent ato you let me know if oyu need any additional information 
negative, heyfriends when i phone the a list number your ivr hangs up on me multiple times not sure how to proceed 
positive, strives to be customer centric in everything they do communicationsadvertisingcustomer journeyetc #anamarketers 
negative, la always has trafficbut this is insane i can t be the only one with this issue on flight 
negative, insane traffic in la trying to call you all to re schedule flight but been on phone for minutes and nothing 
neutral, airline troublenot getting satisfactory customer service contact we negotiate resolutions for you 
neutral, hey southwest help me find a flight from nashville washington dc or raleigh for under on march please 
negative, why can we no longer change trips with a companion online been doing it for yearsnow get message can t be done online 
negative, adding rr number to a stay is too hard won t take rr number at checkin out and marriott phone cs not helpful 
negative, nor fly to toronto you re killing me smalls 
neutral, thank you 
neutral, traditionally used sledge hammer low taking share from driving | now scalpel approach through data science #anamarketers
positive, customer centricity is knowing people #anamarketers
negative, i have used you guys for most my travelsbut this last experience i will never use southwest again #worstcustomerservice 
neutral, is america s largest airline by passengers carried wonder if this is b c they have a customer service bible #anamarketers
negative, #vipliveinthevieyard first time we tried to redeem pts for anythingit really did not go well
positive, ok thank you i hope so too
negative, is there a way to receive a refund on a trip that was cancelled flight online instead of calling your phone lines are super busy 
positive, @intuit @jhamilton moms careers day trip to la #intuitlife #leanin 
neutral, is there a resource to check delays cancelled flightlations out of love field flying out tomorrow am and stressed about weather 
negative, switching planes due to mechanical problems how does reboarding work was a now at end of long line stuck in middle 
negative, whywhen i bookedphone after calling the a list preferred #didn t my kta get added to the ticket must i use web 
negative, tried for vip live in the vineyard but yr site went downby the time i got in redeem pts those packages gone 
neutral, an oscar worthy entrance into la
positive, is the best airline hands down amazing customer servicebags free and affordable flights #happycamper 
positive, thanks to ella mae at las counter for going above and beyond to help us get back to abq after our flight was cancelled flightled 
neutral, @phlairport will flight that arrives at e be a penguin plane 
positive, thank you for taking good care of people with als
positive, has the smoooothest flight attendants #southwestsmoothie 
negative, why was southwest only airline to cancelled flight all flights from charleston was pm flight cancelled flightation really weather relate flightd 
neutral, #stepup #makeitright re you best or just money hungry #wewillsee
negative, thanks for the textbut not exactly timely data throughout issues today maybe
negative, i called the # and the rep there was pleasant but less than helpful told me i was sol train them for consistent #cx 
negative, year customer but i am and those lost or inches really hurt every time the person in front shifts he raps my knees
neutral, was only less than ptsbut it helped had partnerrewards incomingbut not fast enough to keep pts from expiring 
neutral, wife s rr pts expired a few days agowere planning on flight booking problems trip today anything you can do for us on a tight budget 
negative, would be great if i atleast was next to my husband who is flying in the same reservation
negative, why is customer relations still not open in texas 
positive, thank you for the tip 
negative, i hate evolved seating knees in the seat pocket
positive, thanks to your team for dealing with flight to houston 
positive, bumped me to preboard on both flights because i m fat whatever the reasonthanks 
negative, i heart southwest but those commercials aimed to satisfy a nano smattering of travelers to few destinations 
neutral, i urgently need two receipts sent but cs is closed can you help 
neutral, sent
negative, any etd for swa from phl appears delayed but no info available at gate 
negative, can you tell me why you cancelled flightled the flight vs delay
negative, my bday was yesterday and my girl gave birth to my first born and i couldn t get a courtesy flight change from lynn thanks 
neutral, ^cb how do you know 
negative, no needi know the statusyou cancelled flightled instead of delaying the flight 
negative, weather where and at what time cancelled flighted no i can t because meeting was today 
neutral, the flight isn t that empty is this rude or not
positive, we left ipad in a seat pocket filed lost item report received it exactly week late flightr is that a record 
negative, when and why was flight from msp cancelled flighted this am 
negative, i luv y all but please stop overheating your planes second flight in a row that feels like a sauna 
neutral, i was not the one traveling i was asking for my sister who was waiting on my nephew in midland flight eventually landed
positive, can anyone help me upgrade to buisness select cant seem to get hail of the right area at all i know you guys are good
negative, i have asked lindsey to call me instead oflike a schoolgirl but so far no call getting tired of typing little notes
negative, give us some more clever advertising about #bagsflyfree is that because #badpolicy allows you to #cheatcustomers
negative, it s just the principle it s hard to get muggednot be upset you took my moneydidn t give me anything
negative, customer service you shouldn t use those words wasted my time and took my money
negative, three hour flight to orlando and no wifi uncool #firstworldproblems
positive, loving the new planes and the lightingonly wish windows were larger
negative, i would like to ask that his bags be picked up at pittaken to his hotel by the airport will someone contact me
negative, customer service at fllbwi and pit have been terrible no one knows where his bags are his is on a job with no clothesgear 
negative, after multiple attemptsi was finally able to submit them late flight last night 
negative, up atam and arrive to find it already cancelled flighted no options so miss my meeting you might know but don t show it 
neutral, it s a new day and a new chance for you to do the right thing it s never too late flight to be honest 
negative, darn i bought it on the wrong device no way to switch i m sure 
neutral, quick question i bought wifi for my phonedo i have to buy it again on my tablet i have hours left on my trip 
positive, cool shot of the moon and one of your fleet
neutral, hello swawho is your poc for partnerships with nonprofit organizations in bwi area 
negative, hey remember that time you lost my husbands bags i do
positive, looking forward to flying once again with #swa on friday the #luv airline #dtw #mdw #tus
positive, i love this airline so much thanks so much the service is great the snacks are amazing everything is outstanding thanks 
negative, you need to redeem yourself i lost respect for you tonight #lostbags #filmjobnoequipment
negative, way to fuck up and lose @c_istudios bags my husband has no warm clothes and no equipment #youdidit #notcool
neutral, you should have assigned seatingbecause now my cousini probably can t sit together on our flight tomorrow thanks 
negative, wifi stays connected about the lifetime of a higgs boson
neutral, forget wedding fairs how about discounts for nonprofits we donate part of our worth every single day
negative, when will your phone agents be able to give the correct departure times for cun when can we checkin online for international 
negative, making me miss #thebachelor right now #wah
neutral, please lower my plane flight by like bucks thanks~ #floridavacation
positive, had a great flight to and from cabo last week with my family #smoothflight #frequentflyer
negative, we can let #bags flutter because we charge travelers that had to change dates #fullprice and we don t let them travel
positive, on that late flightst ad makes me happy to be flying you in a few days #bethonors
positive, the fact that u see black history month months a year is honorable we will be an economic base for corp like u in future 
neutral, should offer cdn border towns incentive to fly since exchange rates are #hurt #customerappreciation #gaincustomers
positive, what an awesome flight dallas ny virgin america refused bc of my child s peanut allergy but u guys didn t thanks
negative, won t let me send abecause they don t follow me #lovedflyingwiththem #notanymore #wrong #badpolicy
neutral, reference # 
negative, your welcome it was the thoughts of nearly the entire plane 
neutral, do you know the reason flight # from dallas to midland was diverted to lubbock was suppose to be direct to midland 
positive, in flight wifi@tmobile wifi calling makes for the best combination who doesn t love texting feet in the air d 
negative, has become like every other airline #crooked i can t believe they are taking over #shouldwearmasks #shocked
negative, here is my conf #f neqm my flight was delayed for hours while my friend waited for me on her bday please follow up 
negative, twitter cust svc rule dont say if we fell short i just told u u did #if u cant solve problem don t say anything at all 
negative, disappointed in the service i ve received checked in onlinechecked my my flight status onlinechecked in at the airport 
positive, great day in the air
positive, thanks 
positive, thanks for two smoothsafe and fast flights
positive, i really love your customer service lou ann in phx rocks thanks sw #be ourguest
neutral, see you in atlcongrats to ourwinners readyatlanta
neutral, if i am enrolled in the atl companion pass offer and booked flights already before may when can i start using the pass 
negative, very disappointed in your customer service right now definitely not feeling the luv what s worse time this winter 
neutral, will do if you follow back i canthat info
positive, katiegate c denver internationalfantastic customer service helping me and new flyers thx for amazing staff 
negative, kudos to bag handler at dtw gate at pm ran to keep bags from hitting ground in degree temp
positive, crew on flight is awesome tell them i sent this tweet and maybe they will give me free wifi #canthurtasking
positive, thankyou️
neutral, how much is ur wifi fam
neutral,i triedit s okay
positive, happy to enter your sweepstakes again #nutsaboutsouthwest
positive, thanks for the great customer service 
neutral, is the vinyl part of the prize too 
positive, beyond ready
negative, when i called i was told my bag had made it to phlbut still has not been delivered or any call from the delivery service 
neutral, looks like brooding skies out of ont this evening
neutral, no monkey business we luv swa #mdw mci #homeandreadyfornexttrip
positive, is my favorite airlines i ve never had issues with them plus there crew is entertaining 
negative, should be a way to give voice to customers who pay for services that are not satisfactorily delivered #justsayin
positive, your flight attendants are really funny the sass is giving me life 
negative, i am genuinely surprised you all don t upgrade people when you cancelled flight their flights or at least put them in a comparable spot
positive, following thank you 
negative, would someone pleaseme the customer relations number the website has only customer service 
negative, this is the second time in a row i haven t received text updates about flight time change don t offer if you won t use it
negative, you cancelled flightled my flight and now i am in the back of the queue and you want to charge me for business class stay classy
negative, hope your flyers get a credit of some sort for all the delays and cancelled flightlations #shittydeal #notimpressed
negative, @taylorlumsden taylor u gotta love swa responsiveness at the@very least huh 
positive, it s all good thanks 
positive, thank you
negative, now you love me after taking my money and only taking me halfway home sorry too late flight
negative, ohok all good looking forward to escaping the cold for a bit thanks 
negative, wifi is so slow what is the point having one if can t get on the internet ugh 
neutral, i have a few questions about flying with my maltese puppy can youme 
neutral, any word when the customer relations department will open back up 
neutral, can you tell me if flight from mdw fll tomorrow is at full capacity i m hoping for a little bit of extra room 
neutral, just left there friday 
positive, oh no worries just have never seen that before until today i meanit is a great card 
positive, thank you thank you thank you my last attempt to wintickets was a success i could not be happier
positive, flight phx to lax wheels stop glad to be home thanks to the professionals both up front and in the cabin 
positive, eyes next steps for improving #inflight #wifi runway girl
neutral, could you maybe hook @fuyukaidesuyo with some imagine dragon tickets tonight shes a hugeeeee fanwould really love to go
negative, hasn t evennotified us that theflight isdelayedemail text phone call if we wererunning late flight i would be pissed #unreliable
negative, can tweet through the weekendbad weatherbut closes down customer relations center to process refunds for cancelled flighted flights 
negative, stop cancelled flighting my flight i have us history tests to take and chemistry things to learn do you not understand 
positive, mdw san flt attendant melissa was awesome fastsmilinggreat after weather cancelled flight day b it was welcome 
negative, been all up and down the area where the pic was taken and don t see any albums 
neutral, i enjoyed a call from my good friend he s flight booking problems his flights elsewhere as i tweet one at a time i will tell as many as i can
positive, thank you great customer service so far accidents happen i understand hopefully everything works out 
negative, my question is this what s up with the crazy boarding procedure does the confusion prevent fistfights over the good seats 
neutral, opened online applications for fall intern positions throughout the company apply 
neutral, honesty should always be the policy
positive, thanks for the quick response should i call daily it wait the days 
neutral, i knew i was correct
neutral, briughy me to @comclassic#aif so much more with the #agcommunity 
neutral, any deals to orlando in april may 
neutral, #magazine feature desk plants increase productivity by#luvswa #healthbenefitsofplants #gardening
negative, prove itcuz the southwest people here don t even know why it s behind schedule 
positive, seeing your workers time in and time out going above and beyond is why i love flying with you guys thank you 
negative, u were bae until u lost both of my bags and had no clue where they were or what happened to them for hours
negative, prove it
positive, travel agent darrel here at love field hosting a paper airplane contest to entertain all the children was so awesome to see 
positive, big kudos to your staff today at dallas love field for lifting everyone s spirits today with all the delays and cancelled flightlations
positive, it s not fun having a delay from nashville to las vegasbut the crew at the gate cdesk has been awesome #patience #luvswa 
negative, thinks that a voucher makes up for spending hrs on a plane and landing at the same airport we took off from really 
positive, never got to the strip that fast before stoked for specialshow tonight thx again
negative, the problem is apologies don t help results matter and it s proving impossible to find anyone who is interested in that 
neutral, no fare giving out clues in route now 
positive, telling my fam in vegas now
neutral, how many tickets are left 
positive, thank you 
negative, is new #mkt strategy to be average like all the rest #whathappend rr points devalued again
negative, do these scavenger hunt locations have anything in common because i m playing detective trying to figure out the one for atl 
neutral, why do you have to be 
negative, ruined my sunday hours of delays out of dianow my bags are at the wrong airport to deliver them insult to injury 
positive, what can we do to bring you back to jacksonms we miss you terribly around here these other airlines are horrible 
neutral, any idea why tsa pre check isn t showing for my next flight tomorrow the number is in my profile 
positive, hours and degree difference yes please mht to mco @sadie 
negative, sent looking for that functionality in your appthough should be a one click action 
neutral, still there i was posted up in downtown waiting for y all on my way 
negative, like kelsey saidreally bad spot for locals do you know how long it takes to find parking then walking over to the bellagio 
neutral, are people there 
positive, looks like bellagio to me good luck people see you at the show at vinyl
neutral, congrats to these fans who are seeingin l a slcyou re next thanks again sw 
positive, can a pair of tickets waiting for me after my sports practice i live here and definitely know where that is 
positive, love southwest you guys have been good to me
negative, how about #destinationdragon tix for tonite for the inconvenience since i am not there to play scavenger hunt 
neutral, dangif only practice was an hour late flightr today 
neutral, that was supposed to say boo not book booo 
neutral, #vegas i was there days ago miss the warm weather
positive, your crew on is doing a great job of keeping everyone informed during the delays #givethemraises
negative, right we re delayed so i m crabbyalso why do you allow one family member to purchase earlybird check in and hold rows 
positive, really easy for locals to get down to the strip book 
neutral, grrrrrr i need a flight there first maybe for my bday next month 
positive, luv your new luv television commercials traveled on your airline last year return trip from nyc #feltthelove
neutral, is it possible to add travel arranged by my employer to my upcoming travel i can retrieve a reservationbut that s it 
neutral, i sent a email to customer relations and i will be calling tomorrow 
neutral, how do get priority seating after you already paid for the flight
negative, people pre boarded only needed a wheel chair off the plane was not the case boarding
neutral, is it possible to add companion to only theleg of a trip 
positive, best airline 
positive, #netneutral ity nice to see you prioritize internet traffic to your own streaming service over other web sites 
negative, poor customer service displayed over the weekend during the storm i was stuck on the tarmac for hours with no answer 
neutral, northern california coast
neutral, hi guysdo you have a general enquires email address please thanks david 
neutral, watching planes do their thing
positive, thanks for getting us to paradise safely
negative, feeling very frustrated that i bought wifi onboard and can t load an email 
neutral, continues to prove to be the best airlines 💪
positive, just go ahead and start the scavenger hunt after pm today when work is over
negative, why do you let one person board with early bird and save seats for entire party #notcool 
neutral, thanks 
positive, awesome staff at the check in desk they had a paper airplane race for a sw gift card to keep ppl entertained during delays
negative, but when do i get my gintonic 
negative, is this a sick joke #toyingwithouremotions
negative, please explain to me why every other flight to dallas is going out today except the pm 
negative, will continue to be my airline of choicemost frustrating travel day i ve experienced delays and gate changes 
positive, just got a call apologizing personally for the long waits last week trying to rebook flights class act i appreciate that 
negative, @fox news serious potential for a wanna get away commercial out of this debacle but for realyou should fire @kristi_capel 
negative, i appreciate the responsebut the constant changing of the flight time is frustrating to say the least #toughtomakeplans 
negative, how long do we have to be delayed after boarding before we get a free drink #gettingthirsty
neutral, done sorryi thought i was already 
negative, i can doesn t it seem fair that if our bags need to fit under our seatswe should need to fit in them 
positive, your terry is our hero got my husband back thru security to retrieve cellphone left on plane in austin terry # u rock 
negative, just wanted change an anytime flight leaving at @ phone hold mins phone answersshe says sorry no dice 
negative, weren t too sincere when you cancelled flighted my flight and made me drive hours to get home 
positive, your terry is our hero got my husband back thru security to retrieve cellphone left on plane in austin terry # u rock 
positive, your terry is our hero got my husband back thru security to retrieve his cellphone in austin terry # you rock 
positive, thanksyou guys are the best 
positive, i ll stick with flying for free any where that southwest goes my son works for this wonderful company and moms fly free 
neutral, if only you could control the weather in las vegas 
negative, pretty terrible customer service sat on hold min then a busy signal then disconnected do all airlines have to suck 
neutral, could you please tell me if there is a way to add a rr# to a flight that already took place 
negative, hooking us up and getting us to tampa after our flight was cancelled flightled this morning #grateful #businesstrip
positive, love the passbook update used it the day after it was released finally thank you 
neutral, my ticket was booked to cun does the arrival time reflect that cun is now on est time 
negative, @hdsportsguy yes i did i hope for an update soonneed those clothes for a meeting tomorrow 
positive, a to the safety dos and don ts announcer flight from midway mdw to pittsburgh pit 
negative, this is not a fair set up i payed for a full seat i should get access to a full seat
negative, sorry to bother youbut i ve been on hold for more than hours and minutes should i continue holding or call back 
positive, another great trip lax las bna thanks so much 
negative, your checkin is lame for business really last seat i have broad shoulders haha
negative, yeah they re somewhere hopefully getting them back today just frustrated tweeting 
negative, completely understand act of god weather relate flightd cancelled flightlationbut days without reimbursement of any kind is #unacceptable 
negative, why so expensive to go to vegas with stops in late flight june as i can get non stop for same on competition
negative, delayed twice now cancelled flighted sent complaint emailyet no response need an explanation pls #notsatisfied #smh #unhappy 
positive, got help from a nice lady on the phone in georgia thank you 
negative, when will the flight resume i don s see it in the open schedule
neutral, understand the weatherthese kids need to get home nice kids doing volunteer work from a ri high schoolplease help 
positive, thanks for the quick reply i travel a lot but not that muchlol 
negative, that does sound hopeful it s a very thin device so i just hope the right person found it in time 
negative, my bag was not shown luv did not make it to phl with me 
negative, i regret not flying you this morning doesn t support business travelers #neverflyvirginforbusiness
positive, thanks i did go through these motions shortly after my flight yesterday i wonder how quickly flight attendants are notified 
negative, how many others didn t know you are stopping non stop flights to atl and from to hartford ct as of april 
neutral, thankslindsey any idea when i ll get there stuck in denver and told to listen to the intercom better 
positive, nice touch on the passbook integration 
neutral, easy fixlet the business select actually board then board the pre boards 
negative, a companion pass flyer to other airlines because it s being abused @ every airport 
negative, it s not disappointmentit s a blatant disregard for your business select customersit s becoming a problem that s pushing 
neutral, need assistance getting an extension on a flight that has expired 
positive, awesome thanks you guys rock 
negative, hello remaining credits on your account will be refunded back to your credit cardwhen you choose a lower price flight 
neutral, when can we expect customer service in dallas to be available
negative, it eventually arrived just seemed really slow
negative, my bags are on the way to chicagowithout me help i was confirmed for flights and told there isn t room and i m screwed 
negative, i just recieved an email from your memphis station hopefully they have my bag 
negative, just landed in phl row window cover on n sw could use some luv
positive, thanks for adding passbook ability hopefully we can do group passbook tickets in the future somehow 
negative, yepcertain it was on that flight 
positive, they arrived late flight but pilots got us to dia on time #impressive #outstanding #greatservice #allgood
positive, i would appreciate that thank you 
negative, i never got an email confirmation for my ticketbut the credit card was charged phone wait time is crazy is there a chat 
negative, res chg online app no workstill on holdfaster for hubby to drive to airport to make change @ counter 
neutral, can my wife s rr points be transferred to my rr account 
negative, my friends from boston stuck in denver her name jane @rncahill please contact her 
negative, i didbut no one can find the bag and we need everything in it in the next two hours 
